,date,amount,total
84,2020-05-25 00:00:00+00:00,2,286
85,2020-05-26 00:00:00+00:00,0,286
86,2020-05-27 00:00:00+00:00,2,288
87,2020-05-28 00:00:00+00:00,1,289
88,2020-05-29 00:00:00+00:00,0,289
89,2020-05-30 00:00:00+00:00,0,289
90,2020-05-31 00:00:00+00:00,0,289
91,2020-06-01 00:00:00+00:00,3,292
92,2020-06-02 00:00:00+00:00,2,294
93,2020-06-03 00:00:00+00:00,1,295
94,2020-06-04 00:00:00+00:00,0,295
95,2020-06-05 00:00:00+00:00,1,296
96,2020-06-06 00:00:00+00:00,4,300
97,2020-06-07 00:00:00+00:00,2,302
98,2020-06-08 00:00:00+00:00,0,302
99,2020-06-09 00:00:00+00:00,1,303
100,2020-06-10 00:00:00+00:00,1,304
101,2020-06-11 00:00:00+00:00,0,304
102,2020-06-12 00:00:00+00:00,0,304
103,2020-06-13 00:00:00+00:00,1,305
104,2020-06-14 00:00:00+00:00,2,307
105,2020-06-15 00:00:00+00:00,0,307
106,2020-06-16 00:00:00+00:00,1,308
107,2020-06-17 00:00:00+00:00,0,308
108,2020-06-18 00:00:00+00:00,0,308
109,2020-06-19 00:00:00+00:00,1,309
110,2020-06-20 00:00:00+00:00,1,310
111,2020-06-21 00:00:00+00:00,0,310
112,2020-06-22 00:00:00+00:00,1,311
113,2020-06-23 00:00:00+00:00,2,313
114,2020-06-24 00:00:00+00:00,3,316
115,2020-06-25 00:00:00+00:00,4,320
116,2020-06-26 00:00:00+00:00,3,323
117,2020-06-27 00:00:00+00:00,3,326
118,2020-06-28 00:00:00+00:00,2,328
119,2020-06-29 00:00:00+00:00,0,328
120,2020-06-30 00:00:00+00:00,1,329
121,2020-07-01 00:00:00+00:00,3,332
122,2020-07-02 00:00:00+00:00,1,333
123,2020-07-03 00:00:00+00:00,3,336
124,2020-07-04 00:00:00+00:00,5,341
125,2020-07-05 00:00:00+00:00,2,343
126,2020-07-06 00:00:00+00:00,8,351
127,2020-07-07 00:00:00+00:00,5,356
128,2020-07-08 00:00:00+00:00,5,361
129,2020-07-09 00:00:00+00:00,5,366
130,2020-07-10 00:00:00+00:00,4,370
131,2020-07-11 00:00:00+00:00,5,375
132,2020-07-12 00:00:00+00:00,7,382
133,2020-07-13 00:00:00+00:00,4,386
134,2020-07-14 00:00:00+00:00,7,393
135,2020-07-15 00:00:00+00:00,6,399
136,2020-07-16 00:00:00+00:00,9,408
137,2020-07-17 00:00:00+00:00,12,420
138,2020-07-18 00:00:00+00:00,8,428
139,2020-07-19 00:00:00+00:00,10,438
140,2020-07-20 00:00:00+00:00,12,450
141,2020-07-21 00:00:00+00:00,9,459
142,2020-07-22 00:00:00+00:00,6,465
143,2020-07-23 00:00:00+00:00,16,481
144,2020-07-24 00:00:00+00:00,8,489
145,2020-07-25 00:00:00+00:00,7,496
146,2020-07-26 00:00:00+00:00,11,507
147,2020-07-27 00:00:00+00:00,7,514
148,2020-07-28 00:00:00+00:00,8,522
149,2020-07-29 00:00:00+00:00,15,537
150,2020-07-30 00:00:00+00:00,15,552
151,2020-07-31 00:00:00+00:00,14,566
152,2020-08-01 00:00:00+00:00,14,580
153,2020-08-02 00:00:00+00:00,12,592
154,2020-08-03 00:00:00+00:00,15,607
155,2020-08-04 00:00:00+00:00,11,618
156,2020-08-05 00:00:00+00:00,10,628
157,2020-08-06 00:00:00+00:00,9,637
158,2020-08-07 00:00:00+00:00,12,649
159,2020-08-08 00:00:00+00:00,13,662
160,2020-08-09 00:00:00+00:00,8,670
161,2020-08-10 00:00:00+00:00,15,685
162,2020-08-11 00:00:00+00:00,11,696
163,2020-08-12 00:00:00+00:00,16,712
164,2020-08-13 00:00:00+00:00,16,728
165,2020-08-14 00:00:00+00:00,12,740
166,2020-08-15 00:00:00+00:00,10,750
167,2020-08-16 00:00:00+00:00,20,770
168,2020-08-17 00:00:00+00:00,4,774
169,2020-08-18 00:00:00+00:00,14,788
170,2020-08-19 00:00:00+00:00,12,800
171,2020-08-20 00:00:00+00:00,14,814
172,2020-08-21 00:00:00+00:00,13,827
173,2020-08-22 00:00:00+00:00,10,837
174,2020-08-23 00:00:00+00:00,13,850
175,2020-08-24 00:00:00+00:00,16,866
176,2020-08-25 00:00:00+00:00,19,885
177,2020-08-26 00:00:00+00:00,11,896
178,2020-08-27 00:00:00+00:00,11,907
179,2020-08-28 00:00:00+00:00,13,920
180,2020-08-29 00:00:00+00:00,5,925
181,2020-08-30 00:00:00+00:00,14,939
182,2020-08-31 00:00:00+00:00,23,962
183,2020-09-01 00:00:00+00:00,15,977
184,2020-09-02 00:00:00+00:00,13,990
185,2020-09-03 00:00:00+00:00,16,1006
186,2020-09-04 00:00:00+00:00,12,1018
187,2020-09-05 00:00:00+00:00,15,1033
188,2020-09-06 00:00:00+00:00,12,1045
189,2020-09-07 00:00:00+00:00,17,1062
190,2020-09-08 00:00:00+00:00,20,1082
191,2020-09-09 00:00:00+00:00,15,1097
192,2020-09-10 00:00:00+00:00,14,1111
193,2020-09-11 00:00:00+00:00,20,1131
194,2020-09-12 00:00:00+00:00,15,1146
195,2020-09-13 00:00:00+00:00,17,1163
196,2020-09-14 00:00:00+00:00,20,1183
197,2020-09-15 00:00:00+00:00,16,1199
198,2020-09-16 00:00:00+00:00,26,1225
199,2020-09-17 00:00:00+00:00,17,1242
200,2020-09-18 00:00:00+00:00,21,1263
201,2020-09-19 00:00:00+00:00,28,1291
202,2020-09-20 00:00:00+00:00,21,1312
203,2020-09-21 00:00:00+00:00,32,1344
204,2020-09-22 00:00:00+00:00,25,1369
205,2020-09-23 00:00:00+00:00,25,1394
206,2020-09-24 00:00:00+00:00,31,1425
207,2020-09-25 00:00:00+00:00,29,1454
208,2020-09-26 00:00:00+00:00,27,1481
209,2020-09-27 00:00:00+00:00,31,1512
210,2020-09-28 00:00:00+00:00,29,1541
211,2020-09-29 00:00:00+00:00,35,1576
212,2020-09-30 00:00:00+00:00,37,1613
213,2020-10-01 00:00:00+00:00,46,1659
214,2020-10-02 00:00:00+00:00,25,1684
215,2020-10-03 00:00:00+00:00,38,1722
216,2020-10-04 00:00:00+00:00,37,1759
217,2020-10-05 00:00:00+00:00,27,1786
218,2020-10-06 00:00:00+00:00,45,1831
219,2020-10-07 00:00:00+00:00,26,1857
220,2020-10-08 00:00:00+00:00,47,1904
221,2020-10-09 00:00:00+00:00,40,1944
222,2020-10-10 00:00:00+00:00,35,1979
223,2020-10-11 00:00:00+00:00,45,2024
224,2020-10-12 00:00:00+00:00,30,2054
225,2020-10-13 00:00:00+00:00,37,2091
226,2020-10-14 00:00:00+00:00,34,2125
227,2020-10-15 00:00:00+00:00,32,2157
228,2020-10-16 00:00:00+00:00,35,2192
229,2020-10-17 00:00:00+00:00,32,2224
230,2020-10-18 00:00:00+00:00,33,2257
231,2020-10-19 00:00:00+00:00,31,2288
232,2020-10-20 00:00:00+00:00,20,2308
233,2020-10-21 00:00:00+00:00,25,2333
234,2020-10-22 00:00:00+00:00,29,2362
235,2020-10-23 00:00:00+00:00,26,2388
236,2020-10-24 00:00:00+00:00,26,2414
237,2020-10-25 00:00:00+00:00,34,2448
238,2020-10-26 00:00:00+00:00,28,2476
239,2020-10-27 00:00:00+00:00,28,2504
240,2020-10-28 00:00:00+00:00,10,2514
241,2020-10-29 00:00:00+00:00,19,2533
242,2020-10-30 00:00:00+00:00,12,2545
243,2020-10-31 00:00:00+00:00,25,2570
244,2020-11-01 00:00:00+00:00,19,2589
245,2020-11-02 00:00:00+00:00,15,2604
246,2020-11-03 00:00:00+00:00,26,2630
247,2020-11-04 00:00:00+00:00,15,2645
248,2020-11-05 00:00:00+00:00,14,2659
249,2020-11-06 00:00:00+00:00,16,2675
250,2020-11-07 00:00:00+00:00,8,2683
251,2020-11-08 00:00:00+00:00,7,2690
252,2020-11-09 00:00:00+00:00,8,2698
253,2020-11-10 00:00:00+00:00,10,2708
254,2020-11-11 00:00:00+00:00,7,2715
255,2020-11-12 00:00:00+00:00,12,2727
256,2020-11-13 00:00:00+00:00,5,2732
257,2020-11-14 00:00:00+00:00,11,2743
258,2020-11-15 00:00:00+00:00,14,2757
259,2020-11-16 00:00:00+00:00,9,2766
260,2020-11-17 00:00:00+00:00,12,2778
261,2020-11-18 00:00:00+00:00,7,2785
262,2020-11-19 00:00:00+00:00,8,2793
263,2020-11-20 00:00:00+00:00,6,2799
264,2020-11-21 00:00:00+00:00,12,2811
265,2020-11-22 00:00:00+00:00,16,2827
266,2020-11-23 00:00:00+00:00,7,2834
267,2020-11-24 00:00:00+00:00,5,2839
268,2020-11-25 00:00:00+00:00,5,2844
269,2020-11-26 00:00:00+00:00,9,2853
270,2020-11-27 00:00:00+00:00,7,2860
271,2020-11-28 00:00:00+00:00,9,2869
272,2020-11-29 00:00:00+00:00,10,2879
273,2020-11-30 00:00:00+00:00,6,2885
274,2020-12-01 00:00:00+00:00,10,2895
275,2020-12-02 00:00:00+00:00,5,2900
276,2020-12-03 00:00:00+00:00,10,2910
277,2020-12-04 00:00:00+00:00,9,2919
278,2020-12-05 00:00:00+00:00,10,2929
