,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
1,"אוכלוסייה, לפי מחוז ונפה, קבוצת אוכלוסייה, מין וגיל, סוף 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,הנתונים מוצגים במספרים מוחלטים.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,.. = הנתונים קטנים מ-3 או שווים ל-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,אזהרה: בשימוש בנתונים יש להביא בחשבון שככל שהמספר קטן יותר - כך יורדת רמת המהימנות של האומדן ועולה הסבירות לטעות. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,קבוצת אוכלוסייה,מחוז,נפה,מין,גיל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,גברים,198483,4826.0,4932.0,4741.0,4790.0,4540,4567.0,4597.0,4427,4393.0,4293.0,4278,4224.0,4135.0,4163,3979,3920,3726,3686,3825,3534.0,3399.0,3381.0,3470.0,3414.0,3343,3527.0,3344,3205,3040.0,2961,2947,2725,2650,2603,2589,2568.0,2615,2521,2480,2419,2312,2305,2266,2288,2240,2059,2128,2134,2003,1937,1888,1930,1465,1657,1672,1605,1344,1192,1005,1039,1079,1122,947,1123,994,998,902,747,709,727,670,747,605,620,577.0,575,500,507,421,346,315,331,240,204,160,154,144,143,168,102,360
28,,,,נשים,198923,4538.0,4554.0,4460.0,4572.0,4325,4206.0,4446.0,4130,4155.0,4074.0,4124,3976.0,3937.0,3878,3903,3613,3645,3659,3726,3339.0,3206.0,3308.0,3259.0,3553.0,3446,3381.0,3208,3024,2947.0,2839,2771,2869,2739,2689,2558,2511.0,2583,2498,2565,2531,2389,2494,2338,2335,2176,2265,2194,2057,2108,2013,1932,1935,1570,1735,1712,1616,1358,1175,1051,1013,1047,1165,1031,1212,1208,1101,1099,958,957,872,786,959,725,926,698.0,846,664,768,738,578,492,465,314,349,193,199,231,235,249,161,486
29,,,עכו,"סה""כ",486162,11887.0,11858.0,11425.0,11593.0,10917,10716.0,11309.0,10626,10892.0,10520.0,10627,10311.0,10029.0,9853,9432,9230,9256,9182,9196,8509.0,8163.0,8195.0,8429.0,8306.0,8404,8501.0,8380,8210,7900.0,7614,7169,7190,7078,6731,6484,6514.0,6486,6443,6144,6088,5880,5986,5764,5513,5280,5037,5152,4906,4882,4746,4646,4392,3378,3649,3568,3585,3003,2725,2396,2317,2345,2662,2244,2718,2313,2441,2172,1897,1866,1833,1443,1974,1489,1879,1460.0,1439,1378,1296,1461,1093,803,827,595,706,358,423,426,420,443,299,857
30,,,,גברים,244110,6123.0,6056.0,5908.0,5952.0,5522,5562.0,5695.0,5586,5624.0,5515.0,5476,5212.0,5132.0,5126,4705,4648,4876,4724,4719,4365.0,4247.0,4181.0,4224.0,4177.0,4190,4265.0,4235,4144,3972.0,3884,3635,3681,3549,3386,3240,3299.0,3296,3158,3048,3024,2884,2968,2820,2751,2608,2519,2525,2520,2419,2436,2345,2182,1724,1842,1771,1782,1519,1381,1174,1114,1191,1303,1080,1266,1083,1122,968,892,867,817,690,859,658,730,691.0,621,560,532,477,472,352,343,264,239,156,203,172,179,167,116,395
31,,,,נשים,242052,5764.0,5802.0,5517.0,5641.0,5395,5154.0,5614.0,5040,5268.0,5005.0,5151,5099.0,4897.0,4727,4727,4582,4380,4458,4477,4144.0,3916.0,4014.0,4205.0,4129.0,4214,4236.0,4145,4066,3928.0,3730,3534,3509,3529,3345,3244,3215.0,3190,3285,3096,3064,2996,3018,2944,2762,2672,2518,2627,2386,2463,2310,2301,2210,1654,1807,1797,1803,1484,1344,1222,1203,1154,1359,1164,1452,1230,1319,1204,1005,999,1016,753,1115,831,1149,769.0,818,818,764,984,621,451,484,331,467,202,220,254,241,276,183,462
32,,,גולן,"סה""כ",35385,789.0,806.0,747.0,760.0,714,791.0,803.0,749,723.0,728.0,754,736.0,712.0,679,739,762,769,763,731,757.0,735.0,720.0,739.0,685.0,745,741.0,699,616,655.0,597,625,548,498,487,481,416.0,447,464,423,415,359,490,410,465,416,339,399,417,396,369,374,393,355,306,326,234,185,154,132,138,118,115,119,106,158,86,87,84,86,99,87,74,87,61,69.0,56,60,43,44,41,35,46,34,30,33,18,4,22,12,19,47
33,,,,גברים,18105,418.0,440.0,376.0,400.0,365,401.0,392.0,392,354.0,375.0,379,387.0,356.0,337,413,413,413,400,380,407.0,376.0,384.0,386.0,352.0,344,369.0,347,315,335.0,330,307,282,246,243,240,210.0,233,219,209,211,195,240,194,236,191,153,215,201,209,191,197,184,191,181,152,126,110,85,84,70,43,53,65,51,75,46,37,44,48,39,49,37,43,31,24.0,22,34,22,22,19,20,21,23,17,16,11,4,9,..,8,28
34,,,,נשים,17280,371.0,366.0,371.0,360.0,349,390.0,411.0,357,369.0,353.0,375,349.0,356.0,342,326,349,356,363,351,350.0,359.0,336.0,353.0,333.0,401,372.0,352,301,320.0,267,318,266,252,244,241,206.0,214,245,214,204,164,250,216,229,225,186,184,216,187,178,177,209,164,125,174,108,75,69,48,68,75,62,54,55,83,40,50,40,38,60,38,37,44,30,45.0,34,26,21,22,22,15,25,11,13,17,7,0,13,9,11,19
35,,מחוז חיפה,סך הכל,"סה""כ",830246,14151.0,14797.0,14480.0,14034.0,13968,13579.0,13543.0,13237,13366.0,13366.0,13151,13442.0,13412.0,13689,13673,14120,14198,14486,14577,14187.0,13748.0,13650.0,13460.0,13497.0,13657,13728.0,13229,12787,12195.0,12241,11838,11739,10887,10497,10017,10064.0,9913,9965,9946,9877,9819,10167,10106,10093,9889,10009,10195,9954,10018,10353,10098,10149,9555,9689,10421,9567,7354,5968,5101,5169,5739,6008,6125,6677,6806,6529,5839,5465,5174,5517,4970,5529,5205,5249,4912.0,5086,4956,4915,4558,4152,3231,3301,2560,1984,1443,1509,1431,1637,1301,1258,3115
36,,,,גברים,406398,7297.0,7563.0,7415.0,7206.0,7245,6962.0,6972.0,6755,6900.0,6846.0,6764,6966.0,6833.0,6962,6931,7303,7224,7466,7560,7444.0,7187.0,7250.0,6989.0,6974.0,6996,7063.0,6722,6556,6252.0,6203,5981,5812,5459,5232,5024,4968.0,4878,4902,4745,4721,4674,4809,4799,4861,4766,4799,4905,4728,4664,4804,4787,4857,4540,4673,5022,4557,3464,2822,2359,2366,2727,2657,2719,3020,3021,2948,2598,2475,2326,2405,2158,2391,2141,2208,2108.0,2084,1973,1880,1860,1724,1386,1460,1075,859,589,576,504,620,501,415,1206
