,name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,activeSickTo1000
241,עפולה,4.9,ירוק,5.5,0.02,1.5833333333333,34,ירוק,2021-07-18 00:00:00+00:00,62.29857152909718,58.20843008936739,6.0
242,"בני עי""ש",2.3,ירוק,1.4,0.0054347826086,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,66.43002028397565,62.50362213851057,
243,ג'ולס,2.6,ירוק,0.0,0.0,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,66.40183346065699,60.0305576776165,
244,קרית אתא,5.6,ירוק,6.2,0.0241672109732,2.0833333333333,39,ירוק,2021-07-18 00:00:00+00:00,68.71194616383599,63.86972727732708,6.6
245,נתניה,6.2,ירוק,13.5,0.0262950991526,0.9868421052631,361,ירוק,2021-07-18 00:00:00+00:00,63.06572673352358,58.46163480376808,16.1
246,ערערה,2.4,ירוק,2.7,0.0160919540229,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,43.24387855044075,38.35847208619001,
247,אבן יהודה,4.9,ירוק,10.7,0.0111607142857,0.1538461538461,24,ירוק,2021-07-18 00:00:00+00:00,74.28042177258479,68.31005984611001,17.1
248,בית חשמונאי,4.5,ירוק,13.7,0.0084745762711,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,75.23983554134308,67.24531749657378,
249,בית שמש,2.5,ירוק,1.3,0.0084830339321,0.7,21,ירוק,2021-07-18 00:00:00+00:00,32.80387262688148,27.704409651312307,1.6
250,כפר אדומים,3.1,ירוק,2.1,0.0054347826086,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,58.76506661027702,51.40621695918799,
251,מבשרת ציון,2.8,ירוק,3.3,0.0097442143727,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,73.68875015402308,67.80712202735451,
252,אזור,3.1,ירוק,6.8,0.0225563909774,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,61.30178409434532,56.652555185969156,
253,דייר חנא,2.4,ירוק,1.9,0.0065789473684,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,59.98661439908213,52.787073333970746,
254,רמת גן,5.2,ירוק,6.3,0.0145202876916,1.1875,124,ירוק,2021-07-18 00:00:00+00:00,67.44089813248894,63.36643757571396,7.4
255,לקיה,2.0,צהוב,0.0,0.0,0.0, 0 ,צהוב,2021-07-18 00:00:00+00:00,25.157361795292832,20.963327859879584,0.0
256,מגאר,2.0,ירוק,0.0,0.0,0.0, 0 ,ירוק,2021-07-18 00:00:00+00:00,62.01280563791845,56.79171501009841,0.0
257,גני תקווה,3.6,ירוק,5.6,0.0079734219269,-0.5384615384616,23,ירוק,2021-07-18 00:00:00+00:00,69.71824437418634,64.72475358006324,10.7
258,אבו סנאן,4.0,צהוב,6.3,0.0261627906976,0.0, קטן מ-15 ,צהוב,2021-07-18 00:00:00+00:00,56.67552076052006,51.174332447923945,
259,מעלה עירון,2.0,צהוב,0.0,0.0,0.0, 0 ,צהוב,2021-07-18 00:00:00+00:00,49.37789069116019,44.29678848283499,0.0
260,כפר כמא,4.6,ירוק,38.3,0.0490566037735,0.3, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,66.9022379269729,63.75147232037691,
261,גבעתיים,5.6,ירוק,7.7,0.0142433234421,0.3055555555555001,61,ירוק,2021-07-18 00:00:00+00:00,69.84327769746353,66.00243133131818,10.0
262,גן נר,3.6,ירוק,3.7,0.0081300813008,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,79.25925925925927,73.62962962962963,
263,מעיליא,2.0,ירוק,0.0,0.0,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,62.68104776579353,58.5824345146379,
264,סאג'ור,2.0,ירוק,0.0,0.0,0.0, 0 ,ירוק,2021-07-18 00:00:00+00:00,63.027522935779814,57.22477064220184,0.0
265,כאבול,2.4,ירוק,1.4,0.0046728971962,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,51.341857524237746,45.679359280595754,
266,כסרא-סמיע,3.1,צהוב,3.3,0.046875,0.0, קטן מ-15 ,צהוב,2021-07-18 00:00:00+00:00,58.34261528179996,51.77099576743151,
267,יקיר,4.7,ירוק,21.0,0.0172413793103,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,58.322851153039835,50.10482180293501,
268,שייח' דנון,2.9,צהוב,0.0,0.0,0.0, 0 ,צהוב,2021-07-18 00:00:00+00:00,56.74386920980926,52.247956403269754,0.0
269,נעלה,3.5,ירוק,8.5,0.0210526315789,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,55.89852008456659,50.5708245243129,
270,בועיינה-נוג'ידאת,2.0,ירוק,1.0,0.0044052863436,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,59.124962541204674,52.19258815303166,
271,יבנה,6.3,ירוק,11.5,0.0293670886075,1.1111111111111,66,ירוק,2021-07-18 00:00:00+00:00,62.51532386101006,57.503165256536505,13.3
272,מגדל העמק,1.6,ירוק,1.2,0.0047694753577,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,65.87049243892982,61.143854207057004,
273,סייד (שבט),4.1,ירוק,9.3,0.1818181818181,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,11.794634597594818,10.03700277520814,
274,עין נקובא,2.2,ירוק,2.8,0.0188679245283,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,45.25874125874126,36.33566433566433,
275,סביון,5.2,ירוק,24.7,0.019120458891,-0.1666666666667001,17,ירוק,2021-07-18 00:00:00+00:00,91.39678615574783,85.04326328800988,42.0
276,אורנית,4.4,ירוק,17.8,0.0205128205128,-0.3333333333334,21,ירוק,2021-07-18 00:00:00+00:00,75.5715871254162,70.26637069922309,23.3
277,"בסמ""ה",2.0,צהוב,1.0,0.005617977528,0.0, קטן מ-15 ,צהוב,2021-07-18 00:00:00+00:00,52.487319547405384,47.48341786968396,
278,שדרות,3.7,ירוק,4.5,0.0261044176706,0.3,16,ירוק,2021-07-18 00:00:00+00:00,56.93968649434237,52.29938752205958,5.5
279,מודיעין-מכבים-רעות,5.6,ירוק,15.3,0.0182728410513,1.0422535211267,169,ירוק,2021-07-18 00:00:00+00:00,73.08747783500802,66.97521742801655,17.8
