,date,amount,recovered,avg,sum,coronaEvents,Day_Date,vaccinated,vaccinated_cum,vaccinated_population_perc,vaccinated_seconde_dose,vaccinated_seconde_dose_cum,vaccinated_seconde_dose_population_perc
25,2021-06-15 00:00:00+00:00,26,15,15,839719,ביטול חובת עטיית מסיכה בחללים סגורים,2021-06-15T00:00:00.000Z,2950,5486006,58.99,1181,5148070,55.36
26,2021-06-16 00:00:00+00:00,13,9,14,839732,,2021-06-16T00:00:00.000Z,2561,5488567,59.02,831,5148901,55.37
27,2021-06-17 00:00:00+00:00,26,43,15,839758,,2021-06-17T00:00:00.000Z,2548,5491115,59.05,1012,5149913,55.38
28,2021-06-18 00:00:00+00:00,35,11,16,839793,,2021-06-18T00:00:00.000Z,1085,5492200,59.06,334,5150247,55.38
29,2021-06-19 00:00:00+00:00,46,9,19,839839,,2021-06-19T00:00:00.000Z,141,5492341,59.06,78,5150325,55.38
30,2021-06-20 00:00:00+00:00,49,86,24,839888,,2021-06-20T00:00:00.000Z,3225,5495566,59.1,1211,5151536,55.4
31,2021-06-21 00:00:00+00:00,125,39,31,840013,,2021-06-21T00:00:00.000Z,5037,5500603,59.15,1055,5152591,55.41
32,2021-06-22 00:00:00+00:00,110,9,45,840123,,2021-06-22T00:00:00.000Z,6751,5507354,59.22,908,5153499,55.42
33,2021-06-23 00:00:00+00:00,140,24,57,840263,,2021-06-23T00:00:00.000Z,10544,5517898,59.34,1104,5154603,55.43
34,2021-06-24 00:00:00+00:00,229,44,75,840492,,2021-06-24T00:00:00.000Z,11843,5529741,59.46,1302,5155905,55.44
35,2021-06-25 00:00:00+00:00,230,18,104,840722,החזרת חובת עטיית מסיכה בחללים סגורים,2021-06-25T00:00:00.000Z,6916,5536657,59.54,768,5156673,55.45
36,2021-06-26 00:00:00+00:00,116,15,132,840838,,2021-06-26T00:00:00.000Z,2186,5538843,59.56,112,5156785,55.45
37,2021-06-27 00:00:00+00:00,145,73,142,840983,,2021-06-27T00:00:00.000Z,13524,5552367,59.71,3299,5160084,55.49
38,2021-06-28 00:00:00+00:00,288,58,156,841271,,2021-06-28T00:00:00.000Z,14329,5566696,59.86,3472,5163556,55.53
39,2021-06-29 00:00:00+00:00,293,75,179,841564,,2021-06-29T00:00:00.000Z,16500,5583196,60.04,3520,5167076,55.56
40,2021-06-30 00:00:00+00:00,309,92,205,841873,,2021-06-30T00:00:00.000Z,16267,5599463,60.21,3191,5170267,55.6
41,2021-07-01 00:00:00+00:00,297,165,230,842170,,2021-07-01T00:00:00.000Z,16676,5616139,60.39,3197,5173464,55.63
42,2021-07-02 00:00:00+00:00,328,137,239,842498,,2021-07-02T00:00:00.000Z,9656,5625795,60.5,1399,5174863,55.65
43,2021-07-03 00:00:00+00:00,186,96,253,842684,,2021-07-03T00:00:00.000Z,2589,5628384,60.52,238,5175101,55.65
44,2021-07-04 00:00:00+00:00,346,285,263,843030,,2021-07-04T00:00:00.000Z,17625,5646009,60.71,3068,5178169,55.68
45,2021-07-05 00:00:00+00:00,504,194,292,843534,,2021-07-05T00:00:00.000Z,17634,5663643,60.9,2867,5181036,55.71
46,2021-07-06 00:00:00+00:00,527,177,323,844061,,2021-07-06T00:00:00.000Z,17696,5681339,61.09,3193,5184229,55.75
47,2021-07-07 00:00:00+00:00,524,247,356,844585,,2021-07-07T00:00:00.000Z,15280,5696619,61.26,2499,5186728,55.78
48,2021-07-08 00:00:00+00:00,466,331,387,845051,,2021-07-08T00:00:00.000Z,16384,5713003,61.43,2662,5189390,55.8
49,2021-07-09 00:00:00+00:00,534,250,411,845585,,2021-07-09T00:00:00.000Z,10992,5723995,61.55,1305,5190695,55.82
50,2021-07-10 00:00:00+00:00,261,132,441,845846,,2021-07-10T00:00:00.000Z,4880,5728875,61.61,303,5190998,55.82
51,2021-07-11 00:00:00+00:00,442,431,451,846288,,2021-07-11T00:00:00.000Z,1387,5730262,61.62,2761,5193759,55.85
52,2021-07-12 00:00:00+00:00,761,283,465,847049,,2021-07-12T00:00:00.000Z,2317,5732579,61.65,3496,5197255,55.89
53,2021-07-13 00:00:00+00:00,759,331,502,847808,,2021-07-13T00:00:00.000Z,2843,5735422,61.68,5253,5202508,55.95
54,2021-07-14 00:00:00+00:00,770,456,535,848578,,2021-07-14T00:00:00.000Z,2603,5738025,61.7,7319,5209827,56.02
55,2021-07-15 00:00:00+00:00,860,569,570,849438,,2021-07-15T00:00:00.000Z,2861,5740886,61.73,9052,5218879,56.12
56,2021-07-16 00:00:00+00:00,1127,475,626,850565,,2021-07-16T00:00:00.000Z,1149,5742035,61.75,5721,5224600,56.18
57,2021-07-17 00:00:00+00:00,431,200,711,850996,,2021-07-17T00:00:00.000Z,297,5742332,61.75,1297,5225897,56.2
58,2021-07-18 00:00:00+00:00,829,653,735,851825,,2021-07-18T00:00:00.000Z,1977,5744309,61.77,9598,5235495,56.3
59,2021-07-19 00:00:00+00:00,351,127,791,852176,,2021-07-19T00:00:00.000Z,0,5744309,61.77,3,5235498,56.3
