date,first_dose,second_dose,third_dose
2021-09-26,1186,1056,14428
2021-09-27,981,886,11985
2021-09-28,292,214,2402
2021-09-29,2395,1850,22547
2021-09-30,2974,1873,31527
2021-10-01,1695,887,19373
2021-10-02,854,494,9488
2021-10-03,3233,1616,25449
2021-10-04,2812,1574,17648
2021-10-05,2129,1095,13339
2021-10-06,1886,906,11140
2021-10-07,1896,973,11475
2021-10-08,886,548,6761
2021-10-09,334,200,2517
2021-10-10,1067,664,6508
2021-10-11,1058,575,5223
2021-10-12,892,570,4660
2021-10-13,762,394,3985
2021-10-14,895,413,5281
2021-10-15,406,320,3124
2021-10-16,145,132,1427
2021-10-17,735,470,4093
2021-10-18,542,306,2757
2021-10-19,505,224,2733
2021-10-20,529,337,2781
2021-10-21,723,401,3646
2021-10-22,308,274,1998
2021-10-23,106,82,786
2021-10-24,541,417,3029
2021-10-25,505,359,2382
2021-10-26,513,286,2503
2021-10-27,559,390,2305
2021-10-28,676,498,2666
2021-10-29,228,246,1344
2021-10-30,60,68,509
2021-10-31,500,469,2318
2021-11-01,350,403,1721
2021-11-02,414,434,1801
2021-11-03,408,384,1562
2021-11-04,474,491,2158
2021-11-05,244,224,1153
2021-11-06,66,48,341
2021-11-07,386,408,1817
2021-11-08,376,330,1425
2021-11-09,364,330,1470
2021-11-10,321,294,1377
2021-11-11,350,351,1690
2021-11-12,143,164,942
2021-11-13,38,46,318
2021-11-14,337,338,1547
2021-11-15,285,276,1287
2021-11-16,299,290,1326
2021-11-17,242,262,1041
2021-11-18,282,404,1517
2021-11-19,143,145,785
2021-11-20,31,0,273
2021-11-21,320,324,1491
2021-11-22,258,312,1156
2021-11-23,237,256,1176
2021-11-24,301,298,1147
2021-11-25,268,376,1496
2021-11-26,171,191,925
2021-11-27,72,66,326
2021-11-28,134,153,729
2021-11-29,142,125,662
2021-11-30,131,105,555
2021-12-01,123,109,622
2021-12-02,118,154,704
2021-12-03,80,72,419
2021-12-04,24,20,117
2021-12-05,129,135,598
2021-12-06,110,125,487
2021-12-07,127,136,509
2021-12-08,110,114,480
2021-12-09,106,133,645
2021-12-10,128,104,405
2021-12-11,15,28,163
2021-12-12,178,179,754
2021-12-13,108,115,553
2021-12-14,130,151,541
2021-12-15,150,148,679
2021-12-16,149,176,835
2021-12-17,105,93,507
2021-12-18,22,25,164
2021-12-19,119,170,767
2021-12-20,116,151,557
2021-12-21,246,296,1375
2021-12-22,109,164,598
2021-12-23,148,175,791
2021-12-24,137,123,574
2021-12-25,28,31,172
2021-12-26,185,233,870
2021-12-27,164,177,768
2021-12-28,205,229,911
2021-12-29,230,179,784
2021-12-30,174,202,1294
2021-12-31,0,0,68
2022-01-01,0,0,26
